ad_format,ad_category,ad_creative,device_type,os_version,country,language,publisher_app,day_of_week,time_of_day,clicked
video,food,creative_7,smartphone,iOS_16,IN,ja,app_11,Wed,night,1
banner,gaming,creative_10,smartphone,iOS_16,DE,ja,app_19,Sun,night,0
video,entertainment,creative_17,tablet,iOS_16,US,zh,app_19,Wed,evening,1
banner,food,creative_11,tablet,iOS_15,CN,pt,app_47,Sat,afternoon,0
video,gaming,creative_12,smartphone,iOS_16,IN,en,app_12,Thu,afternoon,1
interstitial,food,creative_9,tablet,Android_11,US,es,app_40,Sun,morning,0
banner,entertainment,creative_19,tablet,iOS_15,FR,pt,app_13,Thu,afternoon,0
video,shopping,creative_4,smartphone,Android_12,CN,fr,app_27,Sun,night,0
video,finance,creative_7,smartphone,iOS_15,IN,en,app_17,Sun,night,0
banner,shopping,creative_12,tablet,Android_11,DE,pt,app_14,Mon,afternoon,0
interstitial,entertainment,creative_19,tablet,Android_11,DE,de,app_47,Wed,evening,1
interstitial,food,creative_11,tablet,Android_12,BR,ja,app_25,Tue,afternoon,0
video,travel,creative_8,tablet,iOS_16,JP,zh,app_15,Fri,night,1
interstitial,gaming,creative_6,smartphone,iOS_16,DE,ja,app_16,Thu,night,0
video,entertainment,creative_13,smartphone,Android_11,UK,fr,app_25,Mon,afternoon,1
interstitial,finance,creative_17,tablet,Android_12,DE,pt,app_37,Sat,afternoon,0
interstitial,gaming,creative_9,tablet,iOS_14,CN,zh,app_39,Thu,afternoon,0
banner,travel,creative_11,tablet,Android_12,JP,de,app_9,Sun,night,0
video,finance,creative_14,smartphone,Android_13,CN,zh,app_48,Tue,afternoon,1
banner,finance,creative_12,tablet,Android_11,IN,es,app_5,Fri,evening,1
interstitial,entertainment,creative_7,smartphone,iOS_14,US,pt,app_11,Sat,night,0
interstitial,entertainment,creative_13,smartphone,iOS_16,JP,hi,app_44,Mon,morning,0
video,gaming,creative_2,smartphone,Android_12,JP,fr,app_20,Tue,morning,1
video,gaming,creative_8,tablet,iOS_16,US,pt,app_26,Sat,afternoon,1
video,entertainment,creative_18,smartphone,Android_13,UK,pt,app_45,Mon,afternoon,1
interstitial,finance,creative_12,smartphone,Android_13,BR,hi,app_8,Fri,morning,0
banner,finance,creative_17,tablet,iOS_14,CN,pt,app_24,Sat,morning,0
interstitial,finance,creative_11,smartphone,Android_11,UK,en,app_25,Sun,evening,0
banner,food,creative_20,smartphone,Android_13,CN,zh,app_22,Mon,afternoon,0
interstitial,shopping,creative_12,tablet,iOS_15,UK,en,app_42,Thu,afternoon,0
banner,food,creative_18,smartphone,Android_12,US,ja,app_25,Mon,afternoon,1
video,travel,creative_8,tablet,Android_11,US,de,app_35,Fri,afternoon,1
interstitial,finance,creative_20,smartphone,iOS_16,UK,zh,app_25,Sat,afternoon,0
video,food,creative_8,smartphone,iOS_15,US,en,app_14,Sun,night,1
video,finance,creative_11,smartphone,Android_13,DE,zh,app_18,Sun,morning,1
video,entertainment,creative_8,smartphone,Android_11,CN,pt,app_40,Mon,night,1
banner,food,creative_13,tablet,iOS_16,JP,fr,app_37,Thu,morning,0
interstitial,food,creative_19,tablet,iOS_16,UK,ja,app_28,Sun,night,1
video,finance,creative_14,smartphone,Android_13,CN,es,app_41,Fri,night,0
banner,entertainment,creative_14,tablet,iOS_14,IN,hi,app_1,Tue,afternoon,0
banner,finance,creative_7,tablet,iOS_16,CN,de,app_50,Sun,afternoon,0
banner,gaming,creative_15,tablet,Android_12,UK,fr,app_27,Wed,evening,1
interstitial,entertainment,creative_17,tablet,Android_11,BR,ja,app_2,Tue,evening,1
banner,food,creative_5,tablet,Android_13,CN,es,app_3,Thu,afternoon,0
video,finance,creative_2,smartphone,Android_13,US,de,app_35,Thu,night,1
interstitial,food,creative_20,smartphone,Android_11,FR,pt,app_48,Fri,evening,1
banner,shopping,creative_15,smartphone,iOS_14,UK,pt,app_8,Sun,evening,0
video,gaming,creative_16,smartphone,iOS_14,DE,zh,app_9,Mon,evening,1
banner,entertainment,creative_2,tablet,iOS_15,UK,fr,app_22,Wed,night,0
video,food,creative_10,smartphone,iOS_14,US,pt,app_44,Tue,morning,0
video,gaming,creative_18,smartphone,Android_12,UK,en,app_30,Sat,afternoon,1
video,travel,creative_7,tablet,Android_11,UK,hi,app_47,Wed,evening,1
banner,gaming,creative_14,smartphone,Android_13,BR,hi,app_6,Thu,morning,0
interstitial,food,creative_17,smartphone,iOS_16,DE,pt,app_31,Fri,afternoon,0
banner,gaming,creative_8,smartphone,iOS_16,BR,es,app_17,Fri,morning,0
interstitial,food,creative_17,tablet,iOS_14,US,ja,app_44,Sun,evening,1
interstitial,shopping,creative_15,tablet,iOS_14,JP,de,app_22,Mon,afternoon,0
video,shopping,creative_6,smartphone,iOS_15,JP,ja,app_12,Tue,night,1
interstitial,food,creative_3,tablet,iOS_15,FR,fr,app_4,Mon,afternoon,0
video,food,creative_20,smartphone,iOS_14,BR,es,app_50,Tue,night,1
video,travel,creative_17,smartphone,Android_11,IN,fr,app_12,Mon,night,0
video,finance,creative_10,smartphone,Android_11,US,de,app_19,Mon,morning,1
video,shopping,creative_9,smartphone,Android_11,IN,de,app_41,Fri,afternoon,0
interstitial,finance,creative_10,smartphone,Android_11,IN,fr,app_26,Sun,night,0
banner,finance,creative_18,smartphone,iOS_14,DE,zh,app_23,Fri,evening,1
interstitial,finance,creative_11,smartphone,Android_13,US,es,app_33,Fri,night,1
video,food,creative_8,smartphone,Android_12,US,es,app_1,Mon,night,0
video,food,creative_11,smartphone,Android_11,US,ja,app_36,Sun,night,1
banner,food,creative_15,smartphone,iOS_15,BR,es,app_6,Wed,afternoon,0
interstitial,entertainment,creative_2,smartphone,iOS_15,JP,hi,app_13,Sun,afternoon,0
video,entertainment,creative_4,smartphone,Android_13,FR,de,app_36,Wed,evening,1
banner,shopping,creative_4,tablet,Android_12,US,es,app_6,Tue,evening,0
video,finance,creative_12,smartphone,Android_12,FR,pt,app_19,Mon,night,1
banner,gaming,creative_10,tablet,Android_11,UK,en,app_19,Tue,night,0
interstitial,travel,creative_15,tablet,Android_13,JP,de,app_49,Mon,afternoon,0
video,food,creative_8,smartphone,Android_12,DE,en,app_33,Fri,afternoon,0
banner,entertainment,creative_12,smartphone,Android_11,US,hi,app_12,Mon,afternoon,0
banner,travel,creative_6,tablet,Android_12,BR,pt,app_13,Sat,afternoon,0
banner,food,creative_19,tablet,iOS_16,CN,de,app_37,Sat,afternoon,0
banner,travel,creative_16,tablet,iOS_15,US,ja,app_28,Mon,afternoon,0
interstitial,entertainment,creative_10,tablet,iOS_14,DE,fr,app_47,Sat,evening,0
interstitial,entertainment,creative_13,smartphone,Android_12,IN,en,app_19,Wed,morning,0
banner,food,creative_5,smartphone,Android_11,BR,ja,app_37,Sat,afternoon,1
video,travel,creative_8,tablet,iOS_16,CN,fr,app_16,Fri,evening,1
video,gaming,creative_6,tablet,iOS_15,US,en,app_49,Mon,morning,0
banner,shopping,creative_12,smartphone,iOS_15,US,pt,app_4,Fri,night,0
interstitial,finance,creative_8,smartphone,Android_12,IN,zh,app_46,Sat,evening,0
banner,gaming,creative_16,smartphone,iOS_16,DE,zh,app_34,Sat,afternoon,1
banner,finance,creative_19,tablet,Android_11,IN,ja,app_9,Sat,night,0
video,food,creative_11,smartphone,Android_13,CN,hi,app_2,Wed,afternoon,0
interstitial,shopping,creative_10,tablet,iOS_14,JP,es,app_12,Fri,night,0
interstitial,finance,creative_4,smartphone,Android_12,DE,hi,app_4,Fri,night,0
video,food,creative_1,smartphone,iOS_14,IN,en,app_36,Sun,morning,1
video,gaming,creative_12,smartphone,iOS_15,BR,de,app_43,Mon,night,0
video,entertainment,creative_20,smartphone,iOS_16,US,de,app_20,Sat,afternoon,1
interstitial,shopping,creative_13,tablet,Android_13,DE,de,app_34,Fri,evening,1
interstitial,finance,creative_5,smartphone,Android_12,UK,hi,app_22,Fri,evening,0
video,finance,creative_8,smartphone,iOS_15,DE,de,app_6,Fri,evening,1
banner,gaming,creative_8,tablet,iOS_16,DE,es,app_33,Mon,afternoon,0
banner,entertainment,creative_2,smartphone,Android_12,IN,de,app_4,Thu,evening,1
banner,finance,creative_12,smartphone,iOS_16,UK,hi,app_15,Thu,night,1
banner,shopping,creative_17,tablet,iOS_16,JP,es,app_37,Wed,morning,0
banner,gaming,creative_12,smartphone,Android_11,DE,fr,app_41,Sat,morning,1
banner,food,creative_16,smartphone,iOS_15,JP,fr,app_24,Sun,afternoon,1
interstitial,travel,creative_9,tablet,iOS_15,CN,es,app_35,Sat,evening,0
video,finance,creative_4,smartphone,iOS_14,JP,en,app_15,Sat,evening,1
banner,shopping,creative_5,tablet,iOS_14,CN,ja,app_24,Sun,morning,0
banner,travel,creative_17,smartphone,Android_11,IN,zh,app_29,Thu,afternoon,1
interstitial,food,creative_10,tablet,Android_12,DE,en,app_27,Sun,afternoon,0
interstitial,travel,creative_18,tablet,Android_11,CN,hi,app_43,Sat,afternoon,0
interstitial,food,creative_1,smartphone,iOS_15,BR,ja,app_19,Mon,night,0
interstitial,shopping,creative_20,smartphone,iOS_15,JP,en,app_49,Sat,night,0
banner,travel,creative_4,smartphone,iOS_16,DE,es,app_23,Fri,evening,0
banner,entertainment,creative_3,smartphone,Android_11,US,de,app_22,Thu,evening,1
interstitial,shopping,creative_7,tablet,iOS_15,UK,de,app_47,Tue,night,0
interstitial,food,creative_12,tablet,iOS_15,US,fr,app_38,Sat,night,1
interstitial,entertainment,creative_10,smartphone,iOS_16,DE,en,app_47,Fri,morning,0
interstitial,gaming,creative_2,smartphone,Android_12,JP,fr,app_10,Tue,evening,1
interstitial,gaming,creative_20,tablet,iOS_14,FR,pt,app_20,Wed,morning,0
interstitial,finance,creative_18,smartphone,iOS_15,BR,ja,app_23,Wed,night,1
video,travel,creative_12,smartphone,Android_12,DE,ja,app_31,Fri,evening,1
banner,gaming,creative_20,tablet,Android_13,IN,hi,app_18,Tue,morning,0
banner,shopping,creative_13,tablet,iOS_16,DE,fr,app_21,Wed,night,0
interstitial,travel,creative_6,smartphone,iOS_15,UK,fr,app_39,Mon,night,1
banner,shopping,creative_19,tablet,Android_13,DE,de,app_36,Sat,night,0
banner,travel,creative_14,smartphone,iOS_16,UK,zh,app_44,Mon,night,0
interstitial,entertainment,creative_8,smartphone,iOS_15,IN,es,app_36,Fri,evening,1
banner,gaming,creative_3,smartphone,Android_11,JP,es,app_4,Mon,morning,0
banner,finance,creative_2,tablet,Android_12,UK,ja,app_11,Thu,night,1
banner,finance,creative_18,tablet,iOS_16,UK,zh,app_12,Wed,evening,1
video,food,creative_20,tablet,Android_12,JP,ja,app_16,Fri,afternoon,1
interstitial,finance,creative_7,smartphone,Android_12,CN,fr,app_5,Fri,morning,0
video,finance,creative_3,tablet,iOS_16,JP,zh,app_23,Fri,evening,1
interstitial,shopping,creative_15,smartphone,iOS_14,FR,ja,app_3,Thu,morning,0
banner,finance,creative_7,tablet,iOS_15,BR,hi,app_11,Fri,evening,0
interstitial,gaming,creative_10,tablet,Android_11,DE,fr,app_25,Thu,night,1
interstitial,travel,creative_3,smartphone,Android_11,DE,pt,app_42,Mon,night,0
interstitial,finance,creative_7,smartphone,Android_13,IN,pt,app_24,Thu,evening,1
video,travel,creative_20,smartphone,iOS_16,FR,de,app_10,Mon,afternoon,1
banner,travel,creative_17,smartphone,iOS_15,IN,fr,app_33,Thu,evening,1
banner,entertainment,creative_7,tablet,Android_12,FR,de,app_44,Sat,evening,0
banner,food,creative_20,smartphone,Android_11,JP,es,app_46,Thu,night,0
video,shopping,creative_3,tablet,Android_13,CN,zh,app_23,Tue,afternoon,0
video,travel,creative_7,smartphone,iOS_14,FR,zh,app_8,Thu,morning,0
interstitial,gaming,creative_10,tablet,iOS_16,JP,hi,app_2,Tue,morning,0
banner,travel,creative_16,tablet,iOS_16,UK,pt,app_44,Sun,evening,1
banner,food,creative_3,tablet,iOS_16,FR,pt,app_11,Mon,morning,0
interstitial,food,creative_8,smartphone,Android_11,IN,pt,app_48,Wed,evening,0
banner,travel,creative_12,smartphone,Android_13,US,de,app_16,Mon,night,0
banner,entertainment,creative_14,tablet,iOS_16,UK,ja,app_14,Thu,evening,0
interstitial,shopping,creative_17,smartphone,iOS_16,US,fr,app_16,Sun,evening,1
video,gaming,creative_18,smartphone,Android_13,BR,fr,app_4,Thu,afternoon,1
video,food,creative_18,tablet,iOS_16,US,pt,app_19,Wed,night,0
interstitial,travel,creative_3,smartphone,iOS_15,IN,ja,app_26,Mon,night,0
banner,shopping,creative_14,tablet,Android_13,IN,zh,app_27,Sat,evening,0
interstitial,gaming,creative_9,smartphone,Android_12,JP,pt,app_21,Mon,evening,1
banner,finance,creative_20,smartphone,iOS_14,DE,de,app_46,Mon,morning,0
interstitial,travel,creative_10,tablet,iOS_14,FR,ja,app_8,Thu,morning,0
interstitial,food,creative_3,smartphone,Android_13,US,en,app_16,Mon,afternoon,1
banner,finance,creative_15,tablet,Android_11,IN,pt,app_47,Sat,morning,0
banner,food,creative_12,tablet,Android_11,CN,pt,app_34,Wed,evening,0
banner,food,creative_8,tablet,Android_12,US,zh,app_44,Sat,morning,1
interstitial,travel,creative_20,tablet,iOS_15,DE,pt,app_10,Tue,afternoon,0
interstitial,food,creative_16,smartphone,iOS_15,CN,ja,app_35,Sat,afternoon,0
video,gaming,creative_20,smartphone,Android_13,US,ja,app_48,Sun,afternoon,1
video,gaming,creative_3,tablet,iOS_15,BR,hi,app_6,Thu,afternoon,1
banner,travel,creative_1,tablet,Android_11,US,zh,app_35,Sun,morning,0
interstitial,gaming,creative_14,smartphone,iOS_16,IN,pt,app_1,Fri,night,0
interstitial,travel,creative_12,tablet,iOS_16,UK,es,app_3,Wed,night,0
banner,entertainment,creative_16,tablet,Android_13,JP,es,app_9,Fri,night,0
banner,food,creative_5,tablet,Android_11,BR,hi,app_24,Thu,afternoon,0
banner,shopping,creative_12,smartphone,iOS_16,JP,de,app_46,Wed,night,0
video,travel,creative_15,tablet,iOS_16,UK,de,app_1,Sun,evening,1
video,entertainment,creative_20,tablet,Android_13,IN,zh,app_49,Mon,night,0
interstitial,finance,creative_12,tablet,Android_13,IN,ja,app_44,Sun,afternoon,1
banner,gaming,creative_7,tablet,iOS_15,US,zh,app_20,Fri,morning,0
banner,gaming,creative_10,tablet,iOS_14,JP,en,app_16,Wed,morning,0
interstitial,gaming,creative_14,tablet,iOS_16,DE,es,app_48,Tue,afternoon,0
video,gaming,creative_5,tablet,iOS_14,UK,es,app_7,Fri,night,0
video,shopping,creative_14,tablet,Android_13,IN,zh,app_23,Sat,morning,0
interstitial,gaming,creative_16,tablet,Android_11,BR,hi,app_28,Sun,night,1
video,finance,creative_14,tablet,Android_12,BR,en,app_17,Tue,evening,1
interstitial,food,creative_12,smartphone,iOS_15,BR,zh,app_33,Sat,night,1
banner,gaming,creative_9,tablet,Android_12,CN,pt,app_25,Sun,afternoon,1
banner,gaming,creative_7,tablet,iOS_16,CN,en,app_44,Mon,morning,0
interstitial,travel,creative_6,smartphone,Android_13,BR,zh,app_20,Mon,afternoon,0
video,finance,creative_12,smartphone,Android_13,BR,en,app_23,Sat,morning,0
banner,entertainment,creative_18,tablet,iOS_14,UK,zh,app_24,Wed,morning,0
banner,gaming,creative_3,tablet,Android_11,UK,en,app_15,Wed,morning,1
interstitial,travel,creative_6,tablet,iOS_15,FR,hi,app_16,Sun,night,0
video,food,creative_4,tablet,iOS_15,BR,de,app_21,Sat,evening,1
interstitial,gaming,creative_8,tablet,Android_12,US,zh,app_50,Mon,morning,0
banner,finance,creative_5,tablet,Android_11,CN,hi,app_20,Tue,night,1
video,gaming,creative_4,smartphone,Android_13,UK,ja,app_47,Mon,afternoon,1
interstitial,finance,creative_11,tablet,iOS_16,IN,pt,app_42,Fri,morning,0
video,entertainment,creative_19,smartphone,Android_12,IN,es,app_4,Sat,morning,0
interstitial,travel,creative_11,smartphone,iOS_15,CN,fr,app_2,Sat,afternoon,0
video,food,creative_13,smartphone,Android_11,BR,fr,app_40,Tue,afternoon,1
interstitial,food,creative_15,tablet,iOS_14,DE,en,app_6,Tue,evening,1
interstitial,entertainment,creative_11,smartphone,Android_11,US,zh,app_31,Tue,morning,0
banner,finance,creative_5,tablet,iOS_15,FR,en,app_46,Mon,evening,1
video,food,creative_4,tablet,Android_12,BR,es,app_3,Thu,morning,0
banner,finance,creative_13,smartphone,Android_11,US,ja,app_8,Wed,night,1
banner,gaming,creative_12,smartphone,iOS_16,US,ja,app_26,Wed,afternoon,0
interstitial,food,creative_16,smartphone,iOS_14,JP,zh,app_23,Sat,night,1
banner,food,creative_10,smartphone,Android_13,UK,en,app_2,Tue,afternoon,0
banner,food,creative_3,smartphone,Android_12,US,hi,app_45,Fri,night,0
interstitial,travel,creative_11,tablet,iOS_16,FR,es,app_23,Fri,morning,0
banner,finance,creative_7,tablet,Android_11,CN,de,app_24,Fri,evening,0
interstitial,entertainment,creative_12,tablet,Android_11,BR,fr,app_40,Thu,morning,0
video,finance,creative_9,tablet,Android_11,CN,en,app_40,Thu,afternoon,0
banner,finance,creative_5,smartphone,iOS_14,IN,ja,app_31,Sun,morning,0
banner,entertainment,creative_4,smartphone,Android_11,FR,pt,app_38,Mon,evening,0
interstitial,food,creative_4,smartphone,Android_13,CN,pt,app_15,Fri,night,0
interstitial,gaming,creative_18,tablet,Android_12,CN,de,app_24,Mon,afternoon,0
interstitial,shopping,creative_20,tablet,Android_12,FR,en,app_21,Mon,evening,0
interstitial,travel,creative_16,smartphone,Android_12,BR,de,app_24,Sun,evening,0
video,entertainment,creative_16,tablet,Android_12,IN,en,app_2,Sat,night,1
interstitial,gaming,creative_3,smartphone,Android_13,CN,zh,app_45,Mon,evening,1
video,gaming,creative_8,tablet,Android_13,BR,de,app_37,Thu,night,1
interstitial,gaming,creative_4,smartphone,iOS_16,US,en,app_33,Wed,afternoon,1
video,entertainment,creative_6,tablet,Android_12,JP,es,app_49,Fri,afternoon,0
banner,travel,creative_1,smartphone,iOS_14,US,de,app_13,Sun,night,0
interstitial,entertainment,creative_14,tablet,Android_12,IN,pt,app_36,Wed,evening,0
interstitial,food,creative_10,tablet,Android_11,DE,en,app_40,Tue,evening,1
video,gaming,creative_10,smartphone,Android_11,JP,de,app_35,Fri,morning,0
banner,food,creative_16,tablet,Android_11,UK,fr,app_15,Fri,evening,0
interstitial,shopping,creative_13,tablet,iOS_16,IN,es,app_38,Sat,night,0
banner,shopping,creative_14,tablet,iOS_16,UK,zh,app_48,Sun,morning,0
interstitial,finance,creative_11,tablet,Android_13,BR,pt,app_49,Sat,morning,0
interstitial,entertainment,creative_14,tablet,iOS_15,IN,de,app_27,Wed,morning,1
interstitial,food,creative_13,smartphone,Android_13,FR,es,app_16,Thu,evening,0
interstitial,food,creative_20,smartphone,Android_12,DE,ja,app_21,Sun,evening,0
interstitial,shopping,creative_14,tablet,Android_12,IN,hi,app_8,Mon,night,0
video,food,creative_5,smartphone,iOS_15,US,zh,app_49,Fri,evening,0
video,shopping,creative_13,smartphone,Android_12,IN,en,app_20,Tue,morning,0
banner,travel,creative_10,smartphone,iOS_16,CN,zh,app_45,Fri,night,0
banner,finance,creative_11,tablet,iOS_15,BR,de,app_24,Tue,morning,0
video,finance,creative_15,smartphone,Android_13,FR,zh,app_8,Mon,afternoon,0
banner,entertainment,creative_6,smartphone,Android_12,CN,en,app_2,Fri,night,0
banner,entertainment,creative_13,smartphone,Android_11,UK,pt,app_38,Tue,night,1
video,finance,creative_1,tablet,Android_13,US,es,app_4,Tue,night,1
video,shopping,creative_17,smartphone,Android_13,CN,pt,app_40,Tue,night,0
banner,food,creative_12,smartphone,Android_13,US,fr,app_28,Sun,evening,0
banner,travel,creative_13,tablet,iOS_14,JP,de,app_36,Sat,evening,0
banner,entertainment,creative_5,smartphone,iOS_15,US,hi,app_35,Fri,evening,0
banner,gaming,creative_18,smartphone,iOS_14,DE,de,app_23,Mon,afternoon,0
interstitial,finance,creative_17,smartphone,Android_11,FR,zh,app_3,Tue,afternoon,0
video,gaming,creative_16,tablet,iOS_16,UK,hi,app_19,Mon,morning,0
banner,food,creative_15,tablet,iOS_14,UK,zh,app_30,Sat,morning,0
interstitial,shopping,creative_6,tablet,iOS_16,DE,zh,app_47,Wed,morning,0
interstitial,food,creative_3,tablet,iOS_14,UK,zh,app_39,Tue,night,0
interstitial,finance,creative_7,tablet,iOS_14,DE,de,app_46,Thu,night,1
banner,entertainment,creative_10,tablet,iOS_14,FR,es,app_18,Sun,night,0
banner,travel,creative_19,tablet,iOS_14,FR,hi,app_14,Mon,afternoon,0
banner,entertainment,creative_18,tablet,Android_13,FR,zh,app_28,Thu,morning,0
video,shopping,creative_13,smartphone,Android_11,BR,en,app_41,Mon,afternoon,0
banner,travel,creative_11,smartphone,Android_13,UK,pt,app_46,Thu,evening,1
banner,shopping,creative_5,smartphone,Android_13,DE,pt,app_43,Thu,evening,0
video,gaming,creative_6,tablet,Android_13,JP,de,app_44,Sat,night,1
video,shopping,creative_4,tablet,iOS_14,US,hi,app_37,Tue,evening,1
interstitial,travel,creative_9,smartphone,iOS_16,JP,hi,app_6,Fri,evening,0
video,gaming,creative_17,smartphone,iOS_15,BR,ja,app_21,Fri,evening,1
interstitial,shopping,creative_11,tablet,iOS_15,FR,en,app_22,Thu,night,0
interstitial,gaming,creative_15,smartphone,Android_13,UK,es,app_37,Tue,evening,0
banner,travel,creative_9,tablet,iOS_14,FR,hi,app_21,Wed,afternoon,0
interstitial,finance,creative_1,tablet,iOS_15,FR,ja,app_50,Fri,night,0
video,shopping,creative_3,tablet,Android_12,CN,es,app_12,Thu,evening,0
interstitial,finance,creative_10,tablet,iOS_15,JP,hi,app_29,Fri,night,0
interstitial,food,creative_1,tablet,Android_13,BR,pt,app_38,Thu,morning,0
video,shopping,creative_11,smartphone,iOS_14,IN,es,app_45,Mon,morning,0
banner,food,creative_17,smartphone,iOS_16,UK,pt,app_15,Mon,evening,0
banner,entertainment,creative_9,tablet,iOS_16,BR,ja,app_27,Wed,afternoon,0
banner,finance,creative_2,tablet,Android_11,FR,fr,app_22,Sat,afternoon,0
interstitial,entertainment,creative_1,smartphone,iOS_14,US,de,app_26,Tue,afternoon,0
banner,gaming,creative_14,smartphone,Android_13,IN,de,app_26,Thu,morning,0
banner,entertainment,creative_8,tablet,iOS_14,DE,de,app_47,Mon,night,0
banner,food,creative_10,smartphone,Android_13,US,hi,app_12,Mon,afternoon,0
video,finance,creative_3,tablet,iOS_15,US,ja,app_11,Mon,evening,1
video,food,creative_9,smartphone,iOS_16,CN,pt,app_26,Sat,evening,1
interstitial,shopping,creative_9,tablet,Android_13,DE,ja,app_25,Sat,evening,1
banner,gaming,creative_4,smartphone,iOS_14,CN,hi,app_6,Fri,afternoon,0
interstitial,gaming,creative_10,smartphone,iOS_15,US,de,app_13,Fri,afternoon,1
video,finance,creative_18,tablet,iOS_14,FR,ja,app_9,Fri,night,0
interstitial,entertainment,creative_16,tablet,Android_13,US,de,app_19,Fri,afternoon,0
interstitial,finance,creative_14,smartphone,iOS_15,UK,fr,app_38,Tue,morning,1
video,entertainment,creative_20,tablet,iOS_14,US,ja,app_43,Sat,afternoon,0
banner,entertainment,creative_20,tablet,Android_12,IN,en,app_26,Mon,morning,0
interstitial,shopping,creative_12,tablet,Android_13,JP,zh,app_15,Sat,afternoon,0
banner,travel,creative_19,smartphone,Android_13,JP,es,app_14,Thu,morning,0
video,food,creative_5,tablet,Android_11,DE,en,app_50,Fri,afternoon,1
interstitial,food,creative_8,tablet,iOS_15,FR,de,app_50,Wed,evening,1
video,finance,creative_6,smartphone,Android_11,DE,de,app_42,Sat,afternoon,1
banner,gaming,creative_5,tablet,iOS_16,CN,es,app_47,Wed,evening,0
banner,travel,creative_18,tablet,Android_11,US,fr,app_22,Mon,afternoon,0
interstitial,shopping,creative_17,tablet,iOS_15,JP,de,app_41,Fri,afternoon,0
video,entertainment,creative_7,tablet,iOS_15,FR,ja,app_44,Tue,afternoon,0
banner,food,creative_1,tablet,iOS_14,FR,hi,app_47,Tue,night,0
banner,food,creative_12,smartphone,Android_11,BR,hi,app_17,Sat,night,1
banner,shopping,creative_10,tablet,iOS_14,IN,hi,app_42,Tue,night,1
banner,gaming,creative_4,smartphone,iOS_16,DE,fr,app_44,Mon,night,1
video,finance,creative_5,smartphone,Android_11,BR,pt,app_22,Tue,night,1
video,gaming,creative_2,smartphone,Android_11,JP,en,app_39,Wed,evening,1
video,gaming,creative_10,smartphone,Android_11,BR,fr,app_8,Sat,evening,1
interstitial,shopping,creative_10,smartphone,Android_12,BR,de,app_43,Mon,morning,0
banner,gaming,creative_11,tablet,iOS_15,US,hi,app_32,Sun,night,1
interstitial,travel,creative_13,smartphone,iOS_14,BR,de,app_32,Sun,night,0
interstitial,gaming,creative_6,tablet,Android_11,UK,zh,app_31,Thu,morning,1
interstitial,food,creative_20,tablet,Android_12,UK,en,app_8,Mon,night,0
banner,entertainment,creative_18,tablet,Android_12,BR,zh,app_50,Thu,evening,0
interstitial,food,creative_5,smartphone,iOS_14,BR,zh,app_13,Mon,evening,0
interstitial,finance,creative_14,smartphone,iOS_16,US,pt,app_40,Thu,night,1
video,gaming,creative_20,tablet,Android_11,DE,fr,app_6,Wed,evening,1
banner,entertainment,creative_3,tablet,iOS_15,BR,pt,app_27,Mon,afternoon,0
video,gaming,creative_12,smartphone,iOS_15,US,hi,app_19,Sat,morning,1
video,finance,creative_1,tablet,iOS_16,US,fr,app_28,Wed,afternoon,1
video,food,creative_3,smartphone,Android_12,DE,es,app_16,Thu,evening,1
video,shopping,creative_10,tablet,Android_13,FR,pt,app_23,Sun,evening,0
video,finance,creative_6,smartphone,iOS_14,JP,ja,app_7,Tue,morning,1
video,gaming,creative_9,tablet,iOS_16,IN,fr,app_35,Fri,morning,0
video,entertainment,creative_3,smartphone,Android_11,FR,hi,app_46,Mon,night,1
interstitial,entertainment,creative_7,smartphone,Android_12,JP,en,app_45,Sun,morning,0
interstitial,entertainment,creative_4,tablet,iOS_15,DE,fr,app_28,Sun,morning,0
banner,shopping,creative_20,smartphone,Android_11,CN,es,app_21,Thu,evening,0
interstitial,shopping,creative_12,tablet,Android_13,US,fr,app_30,Sun,night,0
interstitial,shopping,creative_5,smartphone,iOS_15,DE,es,app_27,Tue,morning,0
video,shopping,creative_14,tablet,Android_11,FR,en,app_35,Thu,afternoon,0
interstitial,finance,creative_3,smartphone,Android_12,FR,zh,app_26,Sun,evening,1
interstitial,shopping,creative_10,smartphone,iOS_16,DE,ja,app_41,Sat,morning,0
video,finance,creative_5,smartphone,iOS_15,FR,fr,app_42,Tue,morning,1
interstitial,shopping,creative_8,tablet,iOS_15,DE,es,app_22,Mon,night,0
banner,entertainment,creative_10,tablet,iOS_14,DE,zh,app_38,Sun,afternoon,0
video,entertainment,creative_7,smartphone,Android_13,CN,pt,app_38,Fri,night,1
interstitial,shopping,creative_13,tablet,iOS_14,DE,es,app_19,Mon,evening,0
video,entertainment,creative_4,smartphone,iOS_15,BR,de,app_21,Sun,night,1
video,gaming,creative_10,smartphone,Android_11,DE,de,app_38,Mon,afternoon,1
video,entertainment,creative_17,tablet,iOS_14,BR,ja,app_10,Tue,morning,0
interstitial,entertainment,creative_4,smartphone,Android_13,DE,fr,app_36,Fri,morning,1
banner,food,creative_6,tablet,Android_12,JP,en,app_1,Fri,night,0
video,entertainment,creative_6,tablet,iOS_16,US,de,app_2,Sat,night,0
interstitial,gaming,creative_18,tablet,iOS_15,BR,de,app_15,Mon,evening,0
banner,finance,creative_13,smartphone,Android_12,CN,hi,app_36,Fri,night,1
banner,shopping,creative_16,smartphone,Android_11,CN,de,app_14,Wed,afternoon,0
